gold\system	_	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	compound	conj	cop	csubj	dep	det	discourse	expl	fixed	flat	goeswith	iobj	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	punct	root	vocative	xcomp
_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
acl	0	26	42	1	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	9	0	10	0	3
advcl	0	8	23	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	3	0	1	0	6	0	0
advmod	0	0	0	216	1	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	1	5	0	5	2	0	0	0	2	0	0
amod	0	0	0	5	184	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	8	5	0	0	0	1	0	0
appos	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	3	0	0	0	1	0	0
aux	0	0	3	0	0	0	62	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	6	0	0
case	0	0	0	6	0	0	0	330	0	0	2	0	0	0	0	0	0	0	0	2	0	0	17	2	4	0	3	1	0	0	0	0	0	0
cc	0	0	0	3	0	0	0	2	128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
ccomp	0	0	18	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	3
compound	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
conj	0	10	15	1	16	0	1	1	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	10	3	1	0	13	0	10	0	3	0	3
cop	0	3	1	0	1	0	0	0	0	0	0	1	26	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	6	0	1
csubj	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
dep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
det	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	187	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0
discourse	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
expl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
fixed	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
flat	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	4	5	0	1	0	0	0	0	0	0	0
goeswith	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
iobj	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	3	0	1	0	0	0	0	0	0	0
mark	0	1	0	9	0	0	1	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	111	0	5	0	0	1	0	0	1	0	0	0
nmod	0	0	0	1	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	184	8	0	2	35	0	0	0	0	0	1
nsubj	0	0	0	4	2	0	1	0	1	0	1	4	0	0	0	3	0	0	0	1	0	0	3	5	229	0	20	8	0	0	0	2	0	0
nummod	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
obj	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	21	0	3	17	0	112	12	0	0	0	1	0	2
obl	0	1	0	1	3	0	0	0	1	0	1	2	0	0	0	1	0	0	0	1	0	0	1	36	28	0	7	186	0	0	0	2	0	0
orphan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
parataxis	0	2	7	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	5	0	0	0	1
punct	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0
root	0	4	11	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	5	0	2	5	0	7	0	50	0	4
vocative	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
xcomp	0	1	18	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	10	6	0	0	0	2	0	31
